"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"1","Atrina","MT",2005,5928.219353,5357.893507,8122.445723,370.918,NA,NA,"No MPA",0.062568198
"2","Atrina","MT",2006,6965.954539,5896.695126,8977.253491,460.838,NA,NA,"No MPA",0.066155758
"3","Atrina","MT",2007,7848.262823,6479.536099,9689.750774,926.882,NA,NA,"No MPA",0.118100275
"4","Atrina","MT",2008,8416.005443,6897.491908,9700.748134,499.08,NA,NA,"No MPA",0.059301292
"5","Atrina","MT",2009,9003.08854,7248.849854,9745.703237,304.792,NA,NA,"No MPA",0.03385416
"6","Atrina","MT",2010,9520.642759,7652.768075,10777.3487,383.414,NA,NA,"No MPA",0.040271861
"7","Atrina","MT",2011,10281.93509,8300.821947,12099.45655,645.136,NA,NA,"No MPA",0.062744609
"8","Atrina","MT",2012,11026.56894,8899.760389,13457.40833,564.416,NA,NA,"No MPA",0.051186911
"9","Atrina","MT",2013,11734.9025,9425.084591,14681.37616,1025.9842,NA,NA,"No MPA",0.087430143
"10","Atrina","MT",2014,12183.99855,9688.050218,15634.8364,414.95,NA,NA,"No MPA",0.034056964
"11","Atrina","MT_20",2005,7357.062092,6763.472744,10117.02522,445.1016,NA,NA,"No MPA",0.060499911
"12","Atrina","MT_20",2006,8563.642419,7425.793778,11177.65901,553.0056,NA,NA,"No MPA",0.06457598
"13","Atrina","MT_20",2007,9781.554544,8158.00928,12104.14655,1112.2584,NA,NA,"No MPA",0.113709778
"14","Atrina","MT_20",2008,10604.44382,8667.065069,12164.41281,598.896,NA,NA,"No MPA",0.056475946
"15","Atrina","MT_20",2009,11336.22522,9125.112455,12283.34648,365.7504,NA,NA,"No MPA",0.032263861
"16","Atrina","MT_20",2010,12049.51885,9639.466643,13684.21747,460.0968,NA,NA,"No MPA",0.038183832
"17","Atrina","MT_20",2011,13043.01643,10446.33792,15419.56057,774.1632,NA,NA,"No MPA",0.059354614
"18","Atrina","MT_20",2012,14019.31085,11245.75335,17141.68798,677.2992,NA,NA,"No MPA",0.048311875
"19","Atrina","MT_20",2013,14925.00095,11901.75807,18776.06356,1231.18104,NA,NA,"No MPA",0.082491187
"20","Atrina","MT_20",2014,15621.66909,12172.717,20060.63755,497.94,NA,NA,"No MPA",0.031874955
"21","Atrina","MT_40",2005,8706.265784,7981.760905,12076.98834,519.2852,NA,NA,"No MPA",0.059644997
"22","Atrina","MT_40",2006,10115.78406,8782.019533,13316.60662,645.1732,NA,NA,"No MPA",0.063778862
"23","Atrina","MT_40",2007,11575.0887,9691.912592,14433.36845,1297.6348,NA,NA,"No MPA",0.112105819
"24","Atrina","MT_40",2008,12565.54143,10313.61734,14425.89025,698.712,NA,NA,"No MPA",0.055605403
"25","Atrina","MT_40",2009,13433.31658,10830.8553,14514.40516,426.7088,NA,NA,"No MPA",0.031764963
"26","Atrina","MT_40",2010,14259.6762,11425.28503,16175.44762,536.7796,NA,NA,"No MPA",0.037643183
"27","Atrina","MT_40",2011,15475.37248,12350.04578,18206.79382,903.1904,NA,NA,"No MPA",0.05836308
"28","Atrina","MT_40",2012,16706.02736,13215.30987,20173.45122,790.1824,NA,NA,"No MPA",0.04729924
"29","Atrina","MT_40",2013,17812.22653,14016.63317,22041.25818,1436.37788,NA,NA,"No MPA",0.080639996
"30","Atrina","MT_40",2014,18560.15707,14437.89144,23764.53695,580.93,NA,NA,"No MPA",0.031299843
"31","Atrina","MT_60",2005,9762.923753,8946.093466,13385.68462,593.4688,NA,NA,"No MPA",0.06078802
"32","Atrina","MT_60",2006,11425.28817,9843.945642,14833.62523,737.3408,NA,NA,"No MPA",0.06453586
"33","Atrina","MT_60",2007,12982.7672,10796.95687,16065.23274,1483.0112,NA,NA,"No MPA",0.114229207
"34","Atrina","MT_60",2008,14015.69783,11513.43619,16114.74404,798.528,NA,NA,"No MPA",0.056973831
"35","Atrina","MT_60",2009,15030.61879,12104.87547,16240.64083,487.6672,NA,NA,"No MPA",0.032444918
"36","Atrina","MT_60",2010,15976.16593,12745.58367,18047.70416,613.4624,NA,NA,"No MPA",0.0383986
"37","Atrina","MT_60",2011,17263.24826,13752.87552,20292.98771,1032.2176,NA,NA,"No MPA",0.05979278
"38","Atrina","MT_60",2012,18554.63342,14856.72589,22607.60801,903.0656,NA,NA,"No MPA",0.048670625
"39","Atrina","MT_60",2013,19716.0088,15751.18155,24763.3076,1641.57472,NA,NA,"No MPA",0.083261006
"40","Atrina","MT_60",2014,20603.12012,16201.05822,26564.71471,663.92,NA,NA,"No MPA",0.032224245
"41","Callinectes","MT",2005,3090.182656,1824.678392,3886.270792,1957.488,NA,NA,"No MPA",0.633453817
"42","Callinectes","MT",2006,2975.435115,1856.573538,3844.94911,1816.3144,NA,NA,"No MPA",0.610436568
"43","Callinectes","MT",2007,2927.737487,1854.536295,3803.150984,2215.014,NA,NA,"No MPA",0.756561683
"44","Callinectes","MT",2008,2760.436521,1850.793019,3578.022262,1647.474,NA,NA,"No MPA",0.596816477
"45","Callinectes","MT",2009,2664.008012,1856.490154,3378.744204,2326.338,NA,NA,"No MPA",0.873247374
"46","Callinectes","MT",2010,2342.338579,1739.959375,2872.972499,1866.6284,NA,NA,"No MPA",0.79690802
"47","Callinectes","MT",2011,2068.567721,1590.795679,2504.283847,1669.554,NA,NA,"No MPA",0.807106281
"48","Callinectes","MT",2012,1710.574609,1389.4407,2188.226874,1029.714,NA,NA,"No MPA",0.601969651
"49","Callinectes","MT",2013,1620.696942,1202.873447,2072.321964,1436.844,NA,NA,"No MPA",0.886559333
"50","Callinectes","MT",2014,1610.513924,818.792258,2181.917049,984.56694,NA,NA,"No MPA",0.611337118
"51","Callinectes","MT_20",2005,3835.714469,2417.962771,4567.510873,2348.9856,NA,NA,"No MPA",0.612398451
"52","Callinectes","MT_20",2006,3615.471576,2367.360057,4601.098149,2179.57728,NA,NA,"No MPA",0.602847301
"53","Callinectes","MT_20",2007,3503.721101,2364.871543,4561.491243,2658.0168,NA,NA,"No MPA",0.758626821
"54","Callinectes","MT_20",2008,3308.898056,2280.153596,4231.896016,1976.9688,NA,NA,"No MPA",0.597470447
"55","Callinectes","MT_20",2009,3174.852444,2262.665287,4031.251698,2791.6056,NA,NA,"No MPA",0.879286723
"56","Callinectes","MT_20",2010,2790.699768,2109.472577,3548.207594,2239.95408,NA,NA,"No MPA",0.80264961
"57","Callinectes","MT_20",2011,2481.769022,1947.284855,2965.942519,2003.4648,NA,NA,"No MPA",0.80727287
"58","Callinectes","MT_20",2012,2048.915572,1659.161107,2572.724233,1235.6568,NA,NA,"No MPA",0.603078437
"59","Callinectes","MT_20",2013,1950.625623,1394.885011,2571.473479,1724.2128,NA,NA,"No MPA",0.883928099
"60","Callinectes","MT_20",2014,1925.431803,984.5814133,2579.738861,1181.480328,NA,NA,"No MPA",0.613618372
